MaDH,MaSP,SoLuong,MucGiamGia
DH00001,SP005,2,0.0
DH00001,SP002,2,0.0
DH00001,SP008,1,0.1
DH00002,SP003,2,0.0
DH00002,SP002,4,0.0
DH00002,SP007,1,0.05
DH00003,SP005,5,0.2
DH00003,SP002,3,0.1
DH00004,SP004,1,0.0
DH00004,SP005,2,0.0
DH00005,SP003,4,0.1
DH00005,SP006,3,0.0
DH00006,SP007,999,0.0
DH00006,SP004,2,0.0
DH00007,SP006,5,0.0
DH00008,SP006,-5,0.1
DH00008,SP005,999,0.0
DH00009,SP003,2,0.05
DH00010,SP007,4,0.1
DH00010,SP005,1,0.1
DH00010,SP002,2,0.0
DH00011,SP003,5,0.05
DH00011,SP007,5,0.0
DH00012,SP007,5,0.0
DH00012,SP003,5,0.0
DH00013,SP007,5,0.05
DH00014,SP008,3,0.05
DH00015,SP004,5,0.0
DH00015,SP007,5,0.05
DH00015,SP006,3,0.0
DH00016,SP007,1,0.05
DH00017,SP001,2,0.2
DH00018,SP006,3,0.2
DH00018,SP004,5,0.0
DH00018,SP008,5,0.2
DH00019,SP004,1,0.0
DH00019,SP005,-2,0.05
DH00020,SP004,5,0.0
DH00020,SP008,2,0.0
DH00020,SP002,-5,0.05
DH00021,SP008,2,0.1
DH00021,SP003,5,0.0
DH00022,SP007,2,0.0
DH00022,SP004,1,0.1
DH00023,SP007,4,0.0
DH00023,SP005,2,0.0
DH00023,SP004,-4,0.05
DH00024,SP006,5,0.0
DH00025,SP007,4,0.1
DH00025,SP001,3,0.0
DH00025,SP008,1,0.2
DH00026,SP008,1,0.0
DH00026,SP003,3,0.05
DH00026,SP004,5,0.0
DH00027,SP003,3,0.0
DH00027,SP002,4,0.0
DH00027,SP004,2,0.0
DH00028,SP001,3,0.1
DH00028,SP003,5,0.0
DH00028,SP002,3,0.2
DH00029,SP005,3,0.0
DH00029,SP001,5,0.2
DH00029,SP006,4,0.2
DH00030,SP003,5,0.0
DH00030,SP001,4,0.05
DH00030,SP002,5,0.0
DH00031,SP006,1,0.05
DH00032,SP002,2,0.05
DH00033,SP002,2,0.1
DH00034,SP007,4,0.0
DH00035,SP002,3,0.0
DH00036,SP003,-3,0.0
DH00037,SP006,2,0.1
DH00037,SP005,4,0.2
DH00038,SP003,4,0.05
DH00038,SP008,1,0.0
DH00038,SP007,4,0.0
DH00039,SP003,3,0.0
DH00039,SP007,2,0.0
DH00040,SP004,2,0.05
DH00041,SP005,1,0.0
DH00042,SP004,2,0.0
DH00043,SP003,1,0.0
DH00043,SP008,3,0.0
DH00044,SP008,1,0.0
DH00044,SP001,1,0.0
DH00045,SP007,2,0.0
DH00046,SP002,2,0.0
DH00046,SP006,1,0.2
DH00047,SP005,5,0.0
DH00047,SP003,1,0.0
DH00047,SP004,1,0.0
DH00048,SP005,5,0.0
DH00048,SP003,1,0.0
DH00048,SP002,4,0.2
DH00049,SP001,2,0.0
DH00049,SP004,2,0.1
DH00049,SP002,3,0.05
DH00050,SP003,5,0.05
DH00050,SP004,5,0.0
DH00050,SP007,5,0.0
DH00051,SP004,2,0.0
DH00051,SP005,5,0.2
DH00052,SP006,5,0.1
DH00052,SP004,5,0.1
DH00052,SP007,4,0.0
DH00053,SP006,3,0.2
DH00053,SP005,5,0.1
DH00053,SP001,-1,0.0
DH00054,SP004,3,0.05
DH00054,SP006,5,0.0
DH00055,SP006,5,0.1
DH00056,SP003,4,0.2
DH00057,SP005,3,0.0
DH00057,SP008,2,0.0
DH00058,SP002,4,0.0
DH00058,SP007,-4,0.0
DH00058,SP003,2,0.1
DH00059,SP002,1,0.0
DH00059,SP006,2,0.0
DH00059,SP007,1,0.2
DH00060,SP006,2,0.05
DH00060,SP001,4,0.0
DH00061,SP008,4,0.05
DH00062,SP001,999,0.0
DH00062,SP003,3,0.1
DH00062,SP004,3,0.05
DH00063,SP001,4,0.0
DH00063,SP003,2,0.05
