MaDH,MaKH,MaCH,MaNV,NgayMua,TrangThai
DH00001,KH0295,CH02,NV004,2025-03-08,Đã hủy
DH00002,KH0122,CH01,NV007,2025-03-01,Hoàn thành
DH00003,KH0196,CH03,NV019,2025-04-11,Đã hủy
DH00004,KH0249,CH04,NV006,14/03/2026,Đang giao
DH00005,KH0218,CH03,NV004,16/12/2024,Đã hủy
DH00006,KH0071,CH01,NV020,2025-09-13,Đã hủy
DH00007,KH0242,CH01,NV005,2025-04-01,Đã hủy
DH00008,KH0087,CH03,NV004,07/11/2024,Hoàn thành
DH00009,KH0148,CH03,NV004,05/03/2026,Đang giao
DH00010,KH0200,CH04,NV013,23/01/2025,Đang giao
DH00011,KH0154,CH03,NV006,2024-05-21,Đã hủy
DH00012,KH0117,CH01,NV016,2025-01-02,Đã hủy
DH00013,KH0114,CH01,NV013,2024-12-17,Đã hủy
DH00014,KH0019,CH03,NV019,2025-10-20,Hoàn thành
DH00015,KH0264,CH04,NV019,2025-05-14,Đã hủy
DH00016,KH0151,CH04,NV015,2026-04-18,Đang giao
DH00017,KH0129,CH02,NV004,2024-10-12,Đã hủy
DH00018,KH0018,CH02,NV017,2025-07-02,Đang giao
DH00019,KH0101,CH01,NV015,2024-11-26,Đang giao
DH00020,KH0079,CH02,NV011,2026-01-21,Đang giao
DH00021,KH0117,CH02,NV008,2024-08-04,Đã hủy
DH00022,KH0232,CH04,NV006,2024-10-25,Đã hủy
DH00023,KH0085,CH02,NV009,11/12/2025,Đang giao
DH00024,KH0018,CH01,NV005,01/05/2024,Hoàn thành
DH00025,KH0272,CH02,NV016,2025-10-28,Hoàn thành
DH00026,KH0020,CH01,NV015,2024-07-04,Đã hủy
DH00027,KH0276,CH02,NV014,06/12/2025,Hoàn thành
DH00028,KH0165,CH04,NV004,2026-04-11,Hoàn thành
DH00029,KH0265,CH01,NV007,2024-06-13,Hoàn thành
DH00030,KH0163,CH03,NV009,2024-11-12,Đã hủy
DH00031,KH0208,CH04,NV004,2025-12-14,Đang giao
DH00032,KH0070,CH03,NV009,2025-04-09,Hoàn thành
DH00033,KH0273,CH03,NV008,2025-11-06,Đang giao
DH00034,KH0146,CH04,NV017,2024-06-12,Đã hủy
DH00035,KH0136,CH01,NV010,30/01/2026,Hoàn thành
DH00036,KH0110,CH04,NV017,11/09/2024,Đang giao
DH00037,KH0122,CH04,NV012,2025-04-11,Đã hủy
DH00038,KH0150,CH01,NV013,2026-03-15,Đã hủy
DH00039,KH0070,CH01,NV007,2026-01-11,Đang giao
DH00040,KH0286,CH01,NV016,2026-01-05,Hoàn thành
DH00041,KH0023,CH03,NV015,2024-08-11,Hoàn thành
DH00042,KH0108,CH01,NV008,2024-07-30,Hoàn thành
DH00043,KH0191,CH02,NV017,2024-05-21,Đang giao
DH00044,KH0299,CH02,NV014,22/09/2024,Đang giao
DH00045,KH0230,CH01,NV003,2026-03-20,Đã hủy
DH00046,KH0224,CH01,NV010,20/03/2026,Hoàn thành
DH00047,KH0206,CH01,NV012,2025-06-05,Đang giao
DH00048,KH0086,CH04,NV011,2025-05-28,Hoàn thành
DH00049,KH0064,CH03,NV012,15/05/2024,Hoàn thành
DH00050,KH0226,CH01,NV017,2025-02-21,Hoàn thành
DH00051,KH0184,CH03,NV015,2025-08-01,Đang giao
DH00052,KH0198,CH03,NV012,2025-08-03,Đang giao
DH00053,KH0077,CH02,NV008,09/03/2026,Đang giao
DH00054,KH0101,CH04,NV018,2024-11-11,Đang giao
DH00055,KH0161,CH01,NV004,2025-09-09,Đang giao
DH00056,KH0108,CH04,NV008,06/09/2024,Đang giao
DH00057,KH0293,CH04,NV020,2024-05-09,Đã hủy
DH00058,KH0066,CH02,NV003,25/02/2025,Đang giao
DH00059,KH0038,CH04,NV007,2026-03-15,Hoàn thành
DH00060,KH0045,CH04,NV005,22/07/2025,Đang giao
DH00061,KH0157,CH03,NV015,30/07/2025,Đã hủy
DH00062,KH0019,CH03,NV006,2025-02-19,Hoàn thành
DH00063,KH0149,CH03,NV007,2025-08-03,Hoàn thành
DH00064,KH0087,CH02,NV016,2025-03-21,Đã hủy
DH00065,KH0233,CH03,NV020,2024-10-09,Đang giao
DH00066,KH0243,CH02,NV020,2026-03-16,Đã hủy
DH00067,KH0106,CH02,NV003,07/09/2025,Đã hủy
DH00068,KH0105,CH03,NV005,2025-11-19,Hoàn thành
DH00069,KH0083,CH01,NV019,2025-02-22,Đang giao
DH00070,KH0235,CH04,NV019,16/06/2025,Đang giao
DH00071,KH0257,CH01,NV008,2026-03-28,Hoàn thành
DH00072,KH0034,CH01,NV009,2026-02-25,Đang giao
DH00073,KH0188,CH02,NV020,2024-10-26,Hoàn thành
DH00074,KH0101,CH04,NV019,2025-08-20,Đang giao
DH00075,KH0045,CH04,NV004,2024-08-26,Đã hủy
DH00076,KH0129,CH02,NV019,2024-12-22,Đang giao
DH00077,KH0174,CH01,NV004,13/04/2026,Đang giao
DH00078,KH0135,CH01,NV012,2026-02-28,Đã hủy
DH00079,KH0039,CH03,NV007,2024-10-27,Đã hủy
DH00080,KH0057,CH01,NV010,2024-08-28,Hoàn thành
DH00081,KH0125,CH03,NV011,2024-08-17,Đang giao
DH00082,KH0015,CH04,NV013,2025-12-17,Đã hủy
DH00083,KH0024,CH01,NV019,22/11/2024,Đang giao
DH00084,KH0176,CH02,NV003,2025-08-06,Đang giao
DH00085,KH0088,CH03,NV013,2024-06-21,Hoàn thành
DH00086,KH0147,CH04,NV009,2024-12-19,Đang giao
DH00087,KH0166,CH03,NV018,30/05/2024,Đã hủy
DH00088,KH0030,CH04,NV020,2025-06-11,Đang giao
DH00089,KH0284,CH01,NV020,2025-06-06,Đang giao
DH00090,KH0248,CH02,NV015,21/04/2026,Hoàn thành
DH00091,KH0032,CH04,NV007,2025-10-07,Hoàn thành
DH00092,KH0090,CH02,NV006,2024-11-06,Hoàn thành
DH00093,KH0266,CH04,NV010,2025-01-10,Đang giao
DH00094,KH0231,CH01,NV010,2025-03-29,Đã hủy
DH00095,KH0180,CH04,NV003,2026-01-28,Đã hủy
DH00096,KH0085,CH02,NV010,28/11/2024,Đang giao
DH00097,KH0084,CH03,NV019,12/08/2025,Đang giao
DH00098,KH0086,CH03,NV013,26/02/2025,Đã hủy
DH00099,KH0115,CH02,NV015,18/03/2026,Đang giao
DH00100,KH0041,CH01,NV018,2024-05-25,Đang giao
DH00101,KH0131,CH02,NV009,02/05/2025,Hoàn thành
DH00102,KH0067,CH04,NV010,2026-04-16,Đã hủy
DH00103,KH0132,CH04,NV003,2024-05-20,Đang giao
DH00104,KH0169,CH02,NV017,23/10/2025,Hoàn thành
DH00105,KH0041,CH03,NV015,2025-10-14,Đang giao
DH00106,KH0092,CH04,NV018,03/12/2025,Hoàn thành
DH00107,KH0004,CH04,NV013,2024-08-17,Đã hủy
DH00108,KH0190,CH03,NV003,2025-11-22,Hoàn thành
DH00109,KH0073,CH01,NV014,2025-01-21,Hoàn thành
DH00110,KH0131,CH04,NV003,2025-03-25,Đã hủy
DH00111,KH0150,CH03,NV019,2024-09-04,Hoàn thành
DH00112,KH0083,CH04,NV005,2025-09-19,Đang giao
DH00113,KH0238,CH03,NV017,23/02/2025,Đang giao
DH00114,KH0003,CH04,NV011,2025-04-29,Đã hủy
DH00115,KH0192,CH03,NV005,2025-09-04,Hoàn thành
DH00116,KH0196,CH01,NV011,2025-03-11,Hoàn thành
DH00117,KH0094,CH01,NV015,2025-01-16,Đang giao
DH00118,KH0229,CH04,NV010,31/05/2025,Đã hủy
DH00119,KH0173,CH01,NV019,2024-07-30,Hoàn thành
DH00120,KH0040,CH02,NV011,2025-10-25,Hoàn thành
DH00121,KH0219,CH04,NV016,2025-07-22,Hoàn thành
DH00122,KH0013,CH03,NV003,2025-06-08,Đang giao
DH00123,KH0023,CH04,NV012,14/11/2025,Đang giao
DH00124,KH0226,CH04,NV008,2024-09-26,Hoàn thành
DH00125,KH0158,CH01,NV020,2024-11-09,Đã hủy
DH00126,KH0103,CH01,NV018,2026-04-10,Hoàn thành
DH00127,KH0278,CH01,NV006,19/05/2024,Đang giao
DH00128,KH0140,CH01,NV016,13/10/2025,Đã hủy
DH00129,KH0116,CH02,NV020,2024-08-27,Hoàn thành
DH00130,KH0207,CH01,NV010,01/09/2025,Đã hủy
DH00131,KH0191,CH01,NV012,2025-04-26,Đang giao
DH00132,KH0007,CH02,NV020,2025-06-25,Đã hủy
DH00133,KH0023,CH04,NV003,02/02/2026,Đã hủy
DH00134,KH0254,CH04,NV014,2025-04-11,Đã hủy
DH00135,KH0204,CH02,NV019,29/05/2025,Đã hủy
DH00136,KH0179,CH02,NV016,2025-02-25,Đã hủy
DH00137,KH0280,CH02,NV009,2025-03-20,Đang giao
DH00138,KH0110,CH02,NV003,2026-02-28,Đang giao
DH00139,KH0101,CH02,NV015,2025-04-02,Hoàn thành
DH00140,KH0012,CH04,NV016,2025-12-16,Đang giao
DH00141,KH0297,CH01,NV006,2024-09-20,Hoàn thành
DH00142,KH0297,CH02,NV011,2024-06-01,Đã hủy
DH00143,KH0019,CH02,NV020,2024-10-15,Hoàn thành
DH00144,KH0145,CH01,NV019,2025-03-02,Đang giao
DH00145,KH0031,CH03,NV008,2024-10-15,Đang giao
DH00146,KH0201,CH04,NV007,2025-11-10,Đã hủy
DH00147,KH0210,CH03,NV016,2026-02-26,Đã hủy
DH00148,KH0043,CH03,NV012,2024-09-07,Đang giao
DH00149,KH0081,CH02,NV015,2025-04-17,Hoàn thành
DH00150,KH0297,CH02,NV014,18/03/2026,Đang giao
DH00151,KH0126,CH01,NV016,2024-07-13,Hoàn thành
DH00152,KH0235,CH02,NV007,2025-12-21,Hoàn thành
DH00153,KH0236,CH04,NV019,2026-02-20,Hoàn thành
DH00154,KH0157,CH04,NV015,2024-10-07,Đã hủy
DH00155,KH0083,CH04,NV016,2025-04-22,Hoàn thành
DH00156,KH0156,CH03,NV006,2025-07-23,Đang giao
DH00157,KH0241,CH01,NV014,2025-05-02,Đã hủy
DH00158,KH0109,CH03,NV009,2025-12-16,Đã hủy
DH00159,KH0042,CH01,NV020,02/06/2025,Đang giao
DH00160,KH0133,CH03,NV016,2024-11-02,Đã hủy
DH00161,KH0169,CH03,NV010,2025-10-01,Đang giao
DH00162,KH0199,CH01,NV010,2024-07-27,Hoàn thành
DH00163,KH0277,CH02,NV016,2025-07-18,Đang giao
DH00164,KH0132,CH02,NV008,2026-01-18,Hoàn thành
DH00165,KH0263,CH01,NV013,10/09/2025,Đã hủy
DH00166,KH0201,CH04,NV013,2024-05-12,Đang giao
DH00167,KH0053,CH03,NV014,2025-07-15,Hoàn thành
